species,pu,amount
1,455,5400
1,456,2700
1,457,42300
1,458,100800
1,459,65700
1,460,900
1,461,1800
1,462,900
1,463,359100
1,464,396000
1,465,1118700
1,466,270900
1,467,365400
1,468,100800
1,469,16200
1,470,900
1,471,4500
1,472,271800
1,473,121500
1,474,72900
1,475,1800
1,476,2700
1,477,7200
1,478,1800
1,479,2700
1,480,4500
1,481,1800
1,482,414900
1,483,47700
1,484,837900
1,485,36900
1,486,325800
1,487,738000
1,488,405000
1,489,1800
1,490,141300
1,491,25200
1,492,6300
1,493,207900
1,494,171000
1,495,16200
1,496,179100
1,497,900
1,498,1800
1,499,900
1,500,1800
1,501,1800
1,502,1800
1,503,200700
1,504,113400
1,505,137700
1,506,18900
1,507,631800
1,508,787500
1,509,352800
1,510,1365300
1,511,867600
1,512,344700
1,513,671400
1,514,1161900
1,515,223200
1,516,1495800
1,517,235800
1,518,324900
1,519,339300
1,520,246600
1,521,115200
1,522,171900
1,523,385200
1,524,3600
1,525,900
1,526,196200
1,527,272700
1,528,3600
1,529,1800
1,531,900
1,532,900
1,533,302400
1,534,575100
1,535,333900
1,536,918000
1,537,184500
1,538,1209600
1,539,1730700
1,540,963000
1,541,880200
1,542,28800
1,543,767700
1,544,654300
1,545,454500
1,546,1057500
1,547,1358100
1,548,311400
1,549,297900
1,550,389700
1,551,10800
1,552,438300
1,553,860400
1,554,617400
1,555,530100
1,556,157500
1,557,396900
1,558,4500
1,559,208800
1,560,676800
1,561,327600
1,562,1517400
1,563,183600
1,564,154800
1,565,45000
1,566,57600
1,567,197100
1,568,323100
1,569,189000
1,570,180900
1,571,16200
1,572,3600
1,573,1800
1,574,63900
1,575,28800
1,576,420300
1,577,900
1,578,900
1,579,70200
1,580,124200
1,581,26100
1,582,1619100
1,583,1531800
1,584,1343700
1,585,710100
1,586,251100
1,587,1247400
1,588,1740600
1,589,759600
1,590,1861200
1,591,1909800
1,592,1341000
1,593,747900
1,594,1804500
1,595,1239300
1,596,946800
1,597,1437300
1,598,1179000
1,599,1686600
1,600,1638900
1,601,2309400
1,602,1685700
1,603,851400
1,604,588600
1,605,421200
1,606,426600
1,607,1045800
1,608,1190700
1,609,944100
1,610,26100
1,611,28800
1,612,104400
1,613,134100
1,614,900
1,615,1800
1,616,900
1,617,44100
1,618,34200
1,619,900
1,620,900
1,621,67500
1,622,900
1,623,453600
1,624,1051200
1,625,1551600
1,626,2455200
1,627,1715400
1,628,203400
1,629,1085400
1,630,339300
1,631,621000
1,632,2099700
1,633,407700
1,634,2674800
1,635,2307600
1,636,3461400
1,637,1635300
1,638,1091700
1,639,1075500
1,640,546300
1,641,1590300
1,642,3563100
1,643,1858500
1,644,1206000
1,645,1061100
1,646,1372500
1,647,1453500
1,648,399600
1,649,167400
1,650,693900
1,651,2658600
1,652,551700
1,653,1232100
1,654,594000
1,655,585000
1,656,531900
1,657,1112400
1,658,1320300
1,659,290700
1,660,135900
1,661,157500
1,662,406800
1,663,307800
1,664,374400
1,665,149400
1,666,90000
1,667,5400
1,668,172800
1,669,126900
1,670,149400
1,671,97200
1,672,900
1,673,55800
1,674,900
1,675,33300
1,676,18000
1,677,131400
1,678,26100
1,679,474300
1,680,91800
1,681,26100
1,682,87300
1,683,91800
1,684,54900
1,685,5400
1,686,900
1,687,509400
1,688,1611000
1,689,347400
1,690,3925800
1,691,3668400
1,692,975600
1,693,3917700
1,694,1139400
1,695,5427900
1,696,6393600
1,697,5536800
1,698,3672000
1,699,1167300
1,700,2118600
1,701,752400
1,702,5667300
1,703,4605300
1,704,4357800
1,705,3803400
1,706,1555200
1,707,1281600
1,708,914400
1,709,3378600
1,710,3297600
1,711,5560200
1,712,1743300
1,713,2165400
1,714,136800
1,715,15300
1,716,900
1,717,101700
1,718,2913300
1,719,1253700
1,720,631800
1,721,135900
1,722,71100
1,723,59400
1,724,16200
1,725,3600
1,726,90900
1,727,342000
1,728,337500
1,729,204300
1,730,148500
1,731,504900
1,732,121500
1,733,121500
1,734,214200
1,735,157500
1,736,60300
1,737,64800
1,738,123300
1,739,103500
1,740,239400
1,741,216000
1,742,61200
1,743,122400
1,744,59400
1,745,85500
1,746,76500
1,747,106200
1,748,57600
1,749,8100
1,750,8100
1,751,2700
1,752,8100
1,753,2700
1,754,17100
1,755,900
1,756,6300
1,757,54900
1,758,41400
1,759,9900
1,760,36900
1,761,247500
1,762,900
1,763,1800
1,764,900
1,765,3600
1,766,2700
1,767,42300
1,768,242100
1,769,1367100
1,770,975600
1,771,5481000
1,772,7839900
1,773,2603700
1,774,270000
1,775,9900
1,776,4023900
1,777,4898700
1,778,2664000
1,779,3957300
1,780,6023700
1,781,3455100
1,782,7146900
1,783,3825000
1,784,5492700
1,785,3254400
1,786,3705300
1,787,3843900
1,788,6270300
1,789,4741200
1,790,3573900
1,791,5895000
1,792,4149900
1,793,3789900
1,794,8118900
1,795,3540600
1,796,8079300
1,797,5897700
1,798,5229000
1,799,8033400
1,800,6734700
1,801,7335000
1,802,5767200
1,803,2631600
1,804,9203400
1,805,11541600
1,806,2413800
1,807,5888700
1,808,3705300
1,809,429300
1,810,3023100
1,811,6239700
1,812,6972300
1,813,1122300
1,814,1759500
1,815,1800
1,816,55800
1,817,8100
1,818,900
1,819,8100
1,820,1800
1,821,18900
1,822,86400
1,823,63900
1,824,20700
1,825,16200
1,826,10800
1,827,18900
1,828,73800
1,829,120600
1,830,58500
1,831,130500
1,832,119700
1,833,188100
1,834,64800
1,835,175500
1,836,189000
1,837,134100
1,838,43200
1,839,75600
1,840,69300
1,841,108900
1,842,108900
1,843,9000
1,844,54000
1,845,24300
1,846,49500
1,847,177300
1,848,42300
1,849,8100
1,850,900
1,851,2700
1,852,3600
1,853,2700
1,854,1800
1,855,900
1,856,6300
1,857,900
1,858,900
1,859,4114800
1,860,5509800
1,861,6689700
1,862,4227300
1,863,958500
1,864,1529100
1,865,2264400
1,866,6081300
1,867,4640400
1,868,10233900
1,869,8440200
1,870,7893900
1,871,8957700
1,872,6571800
1,873,6851700
1,874,7239600
1,875,1422000
1,876,1213200
1,877,5847300
1,878,12686400
1,879,8825400
1,880,8559900
1,881,7222500
1,882,10601100
1,883,10424700
1,884,2019600
1,885,5924700
1,886,5508000
1,887,12948300
1,888,4584600
1,889,12745800
1,890,11438100
1,891,13361400
1,892,9050400
1,893,3473100
1,894,10722600
1,895,10113300
1,896,8568900
1,897,12782700
1,898,10376100
1,899,6407100
1,900,11917800
1,901,6921900
1,902,10862100
1,903,2304000
1,904,3285000
1,905,3626100
1,906,602100
1,907,7290900
1,908,182700
1,909,234900
1,910,8100
1,911,14400
1,912,5400
1,913,8100
1,914,1800
1,915,900
1,916,117000
1,917,127800
1,918,59400
1,919,61200
1,920,9000
1,921,19800
1,922,153900
1,923,27000
1,924,24300
1,925,2700
1,926,54900
1,927,45000
1,928,59400
1,929,114300
1,930,18900
1,931,5400
1,932,4500
1,933,22500
1,934,56700
1,935,94500
1,936,4500
1,937,2700
1,938,17100
1,939,35100
1,940,1800
1,941,1800
1,942,247500
1,943,257400
1,944,3634200
1,945,5693400
1,946,5775300
1,947,8382600
1,948,4406400
1,949,3362400
1,950,8139600
1,951,9495000
1,952,10843200
1,953,11633400
1,954,8246700
1,955,8594100
1,956,6336900
1,957,9390600
1,958,5894100
1,959,5074200
1,960,7887600
1,961,9541800
1,962,8773200
1,963,8384400
1,964,1500300
1,965,13121100
1,966,7660800
1,967,14410800
1,968,12897900
1,969,11025900
1,970,11824200
1,971,11342700
1,972,8541900
1,973,8041500
1,974,8542800
1,975,10954800
1,976,12319200
1,977,8309700
1,978,8158500
1,979,2541600
1,980,281700
1,981,31500
1,982,836100
1,983,1933200
1,984,9560700
1,985,11624400
1,986,3600
1,987,2700
1,988,37800
